feature,importance
avg_position,0.10959703988130043
log_impressions_90d,0.10568965115690108
days_with_impressions,0.09282456006773425
content_age_days,0.07569509930019867
log_sessions_90d,0.05214053519906456
word_count,0.049825761563996186
char_count,0.04825729933214261
days_with_sessions,0.04728952896627628
ctr,0.046952002299234755
scroll_rate,0.04527197873497278
